data_set_id	probe_id	probe_name	gene_id	gene_acronym
1120	103124	RP_Baylor_103124	22190	Xbp1
1141	103219	RP_Baylor_103219	35770	Zbtb20
1143	103219	RP_Baylor_103219	35770	Zbtb20
1144	103134	RP_Baylor_103134	22535	Ikzf1
1146	103134	RP_Baylor_103134	22535	Ikzf1
1156	253877	RP_Baylor_253877	16942	Ascl2
1162	103231	RP_Baylor_103231	37621	Bhlhe22
1163	103231	RP_Baylor_103231	37621	Bhlhe22
1173	102618	RP_Baylor_102618	11227	Chrna4
1174	102618	RP_Baylor_102618	11227	Chrna4
1175	6975	RP_040407_02_H04	12582	Cnp
1176	6975	RP_040407_02_H04	12582	Cnp
1181	103301	RP_Baylor_103301	56658	Hspb8
1183	6976	RP_040407_02_H07	13996	Ctgf
1184	6976	RP_040407_02_H07	13996	Ctgf
1191	102859	RP_Baylor_102859	15780	Cyr61
1192	102859	RP_Baylor_102859	15780	Cyr61
1193	102720	RP_Baylor_102720	12950	Dbp
1194	102720	RP_Baylor_102720	12950	Dbp
1195	103321	RP_Baylor_103321	68559	E2f4
1196	103321	RP_Baylor_103321	68559	E2f4
1202	103139	RP_Baylor_103139	23625	Ets2
1216	253921	RP_Baylor_253921	87114	Hcrtr1
1231	102910	RP_Baylor_102910	17303	Meis2
1232	102910	RP_Baylor_102910	17303	Meis2
1239	102928	RP_Baylor_102928	17794	Nfia
1240	102928	RP_Baylor_102928	17794	Nfia
1242	6895	RP_040324_01_D02	17900	Nov
1243	6955	RP_040407_02_E08	85138	Nr1d1
1244	6955	RP_040407_02_E08	85138	Nr1d1
1245	103419	RP_Baylor_103419	110666	Nr1d2
1246	103419	RP_Baylor_103419	110666	Nr1d2
1255	253957	RP_Baylor_253957	18307	Pcnt
1256	253957	RP_Baylor_253957	18307	Pcnt
1263	103342	RP_Baylor_103342	79944	Plxnb2
1264	103342	RP_Baylor_103342	79944	Plxnb2
1268	6965	RP_040407_02_G03	18879	Prlr
1269	6965	RP_040407_02_G03	18879	Prlr
1274	102998	RP_Baylor_102998	19180	Rasgrf1
1275	102998	RP_Baylor_102998	19180	Rasgrf1
1278	102659	RP_Baylor_102659	12178	Runx2
1279	102659	RP_Baylor_102659	12178	Runx2
1284	103047	RP_Baylor_103047	20440	Sox5
1285	103047	RP_Baylor_103047	20440	Sox5
1295	103057	RP_Baylor_103057	21097	Tacr1
1296	103057	RP_Baylor_103057	21097	Tacr1
1297	103059	RP_Baylor_103059	21099	Tacr3
1298	103059	RP_Baylor_103059	21099	Tacr3
1303	103086	RP_Baylor_103086	21802	Trhr
