row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
10763,23089,"ENSG00000198198","SZT2",23334
10764,9664,"ENSG00000122548","KIAA0087",9808
10765,10439,"ENSG00000181541","MAB21L2",10586
10766,1793,"ENSG00000143196","DPT",1805
10767,8856,"ENSG00000005020","SKAP2",8935
10768,59029,"ENSG00000173976","RAX2",84839
10769,159076,"","JPX",554203
10770,4120,"ENSG00000007264","MATK",4145
10771,34998,"ENSG00000123444","KBTBD4",55709
10772,34120,"ENSG00000039987","BEST2",54831
10773,30874,"ENSG00000187688","TRPV2",51393
10774,6394,"ENSG00000100650","SRSF5",6430
10775,9604,"ENSG00000065613","SLK",9748
10776,30420,"ENSG00000064309","CDON",50937
10777,3653,"ENSG00000161638","ITGA5",3678
10778,119545,"ENSG00000203685","C1orf95",375057
10779,36804,"ENSG00000085382","HACE1",57531
10780,3544,"ENSG00000136244","IL6",3569
10781,77616,"ENSG00000172247","C1QTNF4",114900
10782,5669,"ENSG00000161057","PSMC2",5701
10783,35541,"ENSG00000125772","GPCPD1",56261
10784,80451,"ENSG00000167014","C15orf43",145645
10785,90243,"ENSG00000176358","TAC4",255061
10786,36797,"ENSG00000167971","CASKIN1",57524
10787,26268,"ENSG00000100575","TIMM9",26520
10788,3701,"ENSG00000171223","JUNB",3726
10789,5067,"ENSG00000169851","PCDH7",5099
10790,9347,"ENSG00000108474","PIGL",9487
10791,57297,"ENSG00000152128","TMEM163",81615
10792,25789,"ENSG00000152217","SETBP1",26040
10793,36942,"ENSG00000115109","EPB41L5",57669
10794,31241,"ENSG00000132932","ATP8A2",51761
10795,4517,"ENSG00000168412","MTNR1A",4543
10796,10388,"ENSG00000104889","RNASEH2A",10535
10797,23086,"ENSG00000100154","TTC28",23331
10798,23541,"ENSG00000109919","MTCH2",23788
10799,7946,"","UBXN8",7993
10800,5749,"ENSG00000179295","PTPN11",5781
10801,81301,"ENSG00000168672","FAM84B",157638
10802,10963,"ENSG00000196090","PTPRT",11122
10803,26546,"ENSG00000206956","SNORD49A",26800
10804,10091,"ENSG00000121073","SLC35B1",10237
10805,94491,"ENSG00000188282","RUFY4",285180
10806,55127,"ENSG00000256574","OR13A1",79290
10807,127758,"ENSG00000140274","DUOXA2",405753
10808,2622,"ENSG00000145321","GC",2638
10809,33200,"ENSG00000137857","DUOX1",53905
10810,55812,"ENSG00000178966","RMI1",80010
10811,7388,"ENSG00000026025","VIM",7431
10812,79804,"ENSG00000069509","FUNDC1",139341
10813,4884,"ENSG00000148053","NTRK2",4915
10814,85685,"ENSG00000165406","MARCH8",220972
10815,22738,"ENSG00000105613","MAST1",22983
10816,2659,"ENSG00000168546","GFRA2",2675
10817,81103,"ENSG00000177058","SLC38A9",153129
10818,78743,"ENSG00000156384","SFR1",119392
10819,1735,"ENSG00000064195","DLX3",1747
10820,94104,"ENSG00000184207","PGP",283871
